Country,Corporate tax (excl. dividend taxes),Individual income tax - Lowest marginal rate,Individual income tax - Highest marginal rate,VAT or GST or Sales tax,Capital gains tax[1],Inheritance/Estate Tax,Further reading
United States,"21% (federal), up to 21% with credit of tax paid towards other countries",10% (federal) +0–3.07% (state) +0–3.8398% (local) (federal standard deduction of 12550 USD for single taxpayers),50.3% in California (37% (federal)[236] + 13.3% (state)),11.5% (highest prevailing marginal state and local sales tax rate)0% (lowest prevailing marginal rate),20%,18%-40% federal with offset against individual State Estate and Inheritence Taxes[237],Taxation in the United States
Uruguay[41],25%,0%,36% [238],22% (standard rate)11% (lowest rate)0% (extent),,,Taxation in Uruguay
Uzbekistan[41],12% (standard rate)20% (banks and mobile communication operators),12%,12%,15% (highest rate)0% (lowest rate),,,Taxation in Uzbekistan
Vanuatu,0%,0%,0%,0%,,,Taxation in Vanuatu
Venezuela[41],34%,0%,34%,16% (standard rate)8% (reduced rate),,,Taxation in Venezuela
Vietnam[38],20%,5%,35%[239],10%,,,Taxation in Vietnam
British Virgin Islands,0%[240],0%,0%,—,,,Taxation in the British Virgin Islands
U.S. Virgin Islands,21–38.50%[241],,,,,,Taxation in the United States Virgin Islands
Wallis and Futuna,0%,0%,0%,0%,,,Taxation in Wallis and Futuna
Yemen,20%[242],10%,15%,2%,,,Taxation in Yemen
Zambia,30%[243],10%,30%,16%,,,Taxation in Zambia
Zimbabwe,25%,0%,45%,15% (standard rate)0% (on selected items),,,Taxation in Zimbabwe
